doi	title	issue	form_type	subject_classification	effect_verdict	effect_score	sample_size_category	extraction_confidence	sample_size_raw	abstract
10.1038/s41586-025-09852-9	RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity	8099		life_science	include	5	replication_standard	high	Quantitative experiments involved a sample size of at least three, the minimal number needed to perform statistical analyses. The exact sample size is indicated in each figure legend.	Abstract In all domains of life, tRNAs mediate the transfer of genetic information from mRNAs to proteins. As their depletion suppresses translation and, consequently, viral replication, tRNAs represent long-standing and increasingly recognized targets of innate immunity 1–5 . Here we report Cas12a3
10.1038/s41586-025-09898-9	Nutrient requirements of organ-specific metastasis in breast cancer	8099		life_science	include		resource_constraint	high	Statistical methods were not performed to pre-determine sample size for animal studies. The number of animals assigned per condition was selected empirically to account for the variability of the examined phenotypes based on prior experience with the model, as described in refs. 12, 13. For tissue c	Cancer metastasis is a major contributor to patient morbidity and mortality1, yet the factors that determine the organs where cancers can metastasize are incompletely understood. Here we quantify the absolute levels of 124 metabolites in multiple tissues in mice and investigate how this relates to t
10.1038/s41586-025-09825-y	Uncovering the role of LINE-1 in the evolution of lung adenocarcinoma	8100		life_science	include	2	resource_constraint	high	We analyzed deep whole-genome sequencing (mean read depth 81.7x) and multi-omics data from 1,024 LUAD samples in the Sherlock-Lung study, collected from multiple centers across four continents. This large and diverse cohort included 286 smokers, 737 never-smokers, and 1 participant with unknown smok	Understanding lung cancer evolution can identify tools for intercepting its growth1,2. Here, in a landscape analysis of 1,024 lung adenocarcinomas (LUADs) with deep whole-genome sequencing integrated with multiomic data, we identified 542 LUADs with a diverse clonal architecture. In this group, we o
10.1038/s41586-025-09828-9	Agonists for cytosolic bacterial receptor ALPK1 induce antitumour immunity	8100		life_science	include	6	na_or_blank	low		Targeting innate immunity holds promise in cancer immunotherapy, particularly in improving checkpoint inhibitors. However, the use of&amp;nbsp;agonists of the promising innate receptors TLRs and STING1&#8211;4 is facing challenges. Here we examined the antitumour function of the &#945;-kinase 1 (ALP
10.1038/s41586-025-09829-8	Human gut M cells resemble dendritic cells and present gluten antigen	8100		life_science	include	3	replication_standard	high	No sample size calculation was performed. Unlike in mouse study, organoid experiments were all conducted in a highly controlled environment, and only involve specific cells or molecules rather than whole organism. For quantitative organoid experiments, based on our experience, experimental triplicat	Microfold (M) cells are rare intestinal epithelial cells that reside in the follicle-associated epithelium of Peyer&#8217;s patches1. M cells transport luminal antigens to submucosal antigen-presenting cells2,3. These insights primarily derive from transmission electron microscopy and studies using 
10.1038/s41586-025-09929-5	Correlates of HIV-1 control after combination immunotherapy	8100		life_science	include	4	resource_constraint	high	No sample size was pre-specified for the analysis included here. This was designed as a proof-of-concept mechanistic study.	Abstract The identification of therapeutic strategies to induce sustained antiretroviral therapy (ART)-free control of HIV infection is a major priority 1 . Combination immunotherapy including HIV vaccination, immune stimulation, latency reversal and passive transfer of broadly neutralizing antibodi
10.1038/s41586-025-09932-w	CD8+ T cell stemness precedes post-intervention control of HIV viraemia	8100		life_science	include	3	resource_constraint	high	Sample sizes were constrained by specimen and reagent availability.	Abstract Interventions to induce lasting human immunodeficiency virus (HIV) remission are needed to obviate the requirement for lifelong antiretroviral therapy. Durable post-intervention control (PIC) of viraemia has been achieved in a subset of people following administration of broadly neutralizin
10.1038/s41586-025-09810-5	TSC tunes progenitor balance and upper-layer neuron generation in neocortex	8101		life_science	include	1	power_calc	high	A priori sample size calculations were not performed. For experiments using human tissues, we included as many different samples (n=3) as we were able to obtain. For others, minimum sample sizes were estimated based on previously published studies (PMID: 31277925; PMID: 31846650).	The appropriate generation of upper-layer neurons is necessary to create the circuits that underlie complex brain functions. Radial progenitors divide asymmetrically to generate neurogenic intermediate progenitors (IPs; also known as intermediate precursors), and the symmetric proliferation of IPs r
10.1038/s41586-025-09824-z	Erythropoietin receptor on cDC1s dictates immune tolerance	8101		life_science	include	10	effect_size_estimate	high	Sample sizes were determined based on preliminary data or prior experience with variability in similar experimental settings.	Type 1 conventional dendritic cells (cDC1s) are unique in their efferocytosis1 and cross-presenting abilities2, resulting in antigen-specific T cell immunity3 or tolerance4&#8211;8. However, the mechanisms that underlie cDC1 tolerogenic function remain largely unknown. Here we show that the erythrop
10.1038/s41586-025-09866-3	Causal modelling of gene effects from regulators to programs to traits	8101		life_science	include	1	resource_constraint	high	All analyses were performed on previously collected data from the UK Biobank or publicly available data. In all analyses we used all data that passed filtering criteria as described in the methods.	Genetic association studies provide a unique tool for identifying candidate causal links from genes to human traits and diseases. However, it is challenging to determine the biological mechanisms underlying most associations, and we lack genome-scale approaches for inferring causal mechanistic pathw
10.1038/s41586-025-09884-1	Human assembloids recapitulate periportal liver tissue in vitro	8101		life_science	include	4	effect_size_estimate	high	No statistical methods were used to estimate sample sizes before the study. We based our sample numbers on a combination of previous experience with in vivo and in vitro systems, and standards in the field.	Abstract The development of complex multicellular human in vitro systems holds great promise for modelling disease and advancing drug discovery and tissue engineering 1 . In the liver, despite the identification of key signalling pathways involved in hepatic regeneration 2,3 , in vitro expansion of 
10.1038/s41586-025-09888-x	Plastic landmark anchoring in zebrafish compass neurons	8102		life_science	include		effect_size_estimate	high	Due to the novel nature of hte phenomenology we studied, it was difficult to estimate the effect size and individual variability beforehand. As such, we did not pre-calculate the sample size (the number of fish). Instead, we initially aimed to collect data from about 20 animals per experiment or per	Vision can inform animals as they navigate their environment. Landmarks can be used to maintain heading, while optic flow can be integrated to estimate turning.&amp;nbsp;Although it has been shown that head direction (HD) neurons in various species use these&amp;nbsp;visual cues1,2,&amp;nbsp;the cir
10.1038/s41586-025-09893-0	Sustained HIV-1 remission after heterozygous CCR5Δ32 stem cell transplantation	8102		life_science	include	2	power_calc	high	Sample size calculation was not applicable, as this study focused on a single individual. For NK-cell phenotyping, sample size calculation was not applicable as this study was focused on one specific individual, similar to previously published literature (https://doi.org/10.1038/s41591-024-03277-z).	Abstract HIV cure is exceptionally rare, with only six cases documented among the estimated 88 million individuals who have acquired HIV since the onset of the epidemic 1–6 . Successful cures, including that of the pioneering individual known as the Berlin patient, are limited to those who received 
10.1038/s41586-025-09899-8	Stress controls heterochromatin inheritance via histone H3 ubiquitylation	8102		life_science	include	3	replication_standard	high	Sample size selection was based on experience from prior studies: [Sahu et al., 2024, Mol Cell (PMID: 39096900); Wei et al., 2021, Nat Cell Biol (PMID: 33574613); Holla et al., 2020, Cell (PMID: 31883795); Mazza et al., 2013, Methods Mol Biol (PMID: 23980004)	Abstract Heterochromatin, marked by histone H3 lysine 9 methylation, can be epigenetically inherited through cell division 1–3 , maintaining gene repression that preserves cell identity and enables adaptation to environmental challenges 2–6 . Studies on S chizosaccharomyces pombe have shown that het
10.1038/s41586-025-09903-1	Intratumoural vaccination via checkpoint degradation-coupled antigen presentation	8102		life_science	include	6	effect_size_estimate	high	No statistical method was used to determine sample size. Sample size choice was based on our experience with variability in these assays and our ability to detect meaningful differences between treatments. In order to ensure reproducibility , all experiments were repeated a minimum of two times.	Decreased cross-presentation by antigen-presenting cells induces the scarcity of tumour-reactive T cells within the tumour bed, rendering in situ T cell rejuvenation through immunogenicity reprogramming highly desirable yet challenging1&#8211;3. Here we developed an intratumoural vaccination chimera
10.1038/s41586-025-09923-x	Disease tolerance and infection pathogenesis age-related tradeoffs in mice	8102		life_science	include	2	na_or_blank	medium		Abstract Disease tolerance is a defence strategy essential for survival of infections, limiting physiological damage without killing the pathogen 1,2 . The disease course and pathology an infection may cause can change over the lifespan of a host due to the structural and functional physiological ch
10.1038/s41586-025-09940-w	A nowhere-to-hide mechanism ensures complete piRNA-directed DNA methylation	8102		life_science	include	2	resource_constraint	high	Sample sizes were determined based on available biological material, with no statistical methods being used to pre-determine sample sizes. For each experiment requiring statistical quantification, three or more independent biological replicates were analysed.	The mouse PIWI-interacting RNA (piRNA) pathway provides sustained anti-transposon immunity to the developing male germline by directing transposon DNA methylation1&#8211;3. The first step in this process is the recruitment of SPOCD1 to young LINE1 loci4. Thereafter, piRNA-mediated tethering of the P
10.1038/s41586-025-09978-w	Oxygen-free metabolism in the bird inner retina supported by the pecten	8102		life_science	include		no_justification	high	Each individual animal represent one data point.	Neural tissues are exceptionally sensitive to oxygen deprivation and rely on a dense network of blood vessels to support their extraordinarily high metabolic demands for oxygen, nutrients and clearance of waste products1&#8211;4. In birds, one of the metabolically most demanding neural tissue&#8212;
10.1038/s41586-025-09881-4	Genetic switch between unicellularity and multicellularity in marine yeasts	8103		life_science	include	3	effect_size_estimate	high	No predetermined sample size was used for statistical analysis. Sample sizes were chosen to ensure reproducibility of the observed phenotypes, based on preliminary experiments and consistency across replicates. Sample sizes are comparable to those reported in similar studies in the field (Mitchison 	The evolution of multicellularity is considered to be a major transition in the history of life on Earth1. In the evolution from unicellularity to obligate multicellularity, facultative clonal multicellularity may constitute an intermediate state, in which unicellular proliferation and clonal multic
10.1038/s41586-025-09896-x	Mitochondrial transfer from glia to neurons protects against peripheral neuropathy	8103		life_science	include	4	replication_standard	high	No statistical calculation was used to predetermine sample size for in vitro and in vivo study. In samples for the in vitro experiments, sample sizes of at least n=3 (biologically independent replicates) were sufficient to ensure reproducibility. Sample sizes were determined based on the similar exp	Primary sensory neurons in dorsal root ganglia (DRG) have long axons and a high demand for mitochondria, and mitochondrial dysfunction has been implicated in peripheral neuropathy after diabetes and chemotherapy1,2. However, the mechanisms by which primary sensory neurons maintain their mitochondria
10.1038/s41586-025-09906-y	Oral 4′-fluorouridine rescues nonhuman primates from advanced Lassa fever	8103		life_science	include	3	na_or_blank	medium		There are no approved treatments for Lassa fever, which is estimated to cause 100,000 to 300,000 infections and 5,000 deaths annually in West Africa1,2. Recently, it was shown that 4&#8242;-fluorouridine (also known as EIDD-2749), an orally available ribonucleoside analogue, protected guinea pigs fr
10.1038/s41586-025-09907-x	Bidirectional CRISPR screens decode a GLIS3-dependent fibrotic cell circuit	8103		life_science	include	5	replication_standard	high	For mice, the minimal sample size was set the availability of mice for completing the experiment, with each treatment or genotype consisting of at least n=3. Inbred mice were used and sex-matched, allowing for similar variance between experimental group. In vitro cell culture experiments were perfor	Abstract The stromal cell compartment plays a central part in the maintenance of tissue homeostasis by coordinating with the immune system throughout inception, amplification and resolution of inflammation 1 . Chronic inflammation can impede the phased regulation of tissue restitution, resulting in 
10.1038/s41586-025-09943-7	CFAP20 salvages arrested RNAPII from the path of co-directional replisomes	8103		life_science	include	8	replication_standard	high	No statistical method was used to predetermine sample size. Sample sizes were chosen for the different experimental approaches based on the technical difficulty and throughput of the individual assays, the chosen sample sizes are consistent with previous publications. For imaging experiments, >100 p	Fine-tuning DNA replication and transcription is crucial to prevent collisions between their machineries1. This is particularly important near promoters, where RNA polymerase II (RNAPII) initiates transcription and frequently arrests, forming R-loops2&#8211;4. Arrested RNAPII can obstruct DNA replic
10.1038/s41586-025-09963-3	Ligand-specific activation trajectories dictate GPCR signalling in cells	8103		life_science	include	3	na_or_blank	medium		Abstract G-protein-coupled receptors (GPCRs) are key mediators of cell communication and represent the most important class of drug targets 1,2 . Biophysical studies with purified GPCRs in vitro have suggested that they exist in an equilibrium of distinct inactive and active states, which is modulat
10.1038/s41586-025-09987-9	Ageing promotes microglial accumulation of slow-degrading synaptic proteins	8103		life_science	include	1	effect_size_estimate	high	No statistical methods were used for determining sample size. For most studies, sample size = 3 or 4 was selected because pilot studies demonstrated that 3 replicates sufficed for sufficient replication without large variation and/or out of consideration of TMT-plexing limits. Importantly, n = 3 or 	Neurodegenerative diseases affect 1 in 12 people globally and remain incurable. Central to their pathogenesis is a loss of neuronal protein maintenance and the accumulation of protein aggregates with ageing1,2. Here we engineered bioorthogonal tools3 that enabled us to tag the nascent neuronal prote
10.1038/s41586-025-10001-5	Environmentally driven immune imprinting protects against allergy	8103		life_science	include	3	replication_standard	high	Sample sizes were chosen to give a minimum of n = 5 across a minimum of two independent experiments.	Abstract Allergic diseases are caused by overexuberant type II immune responses mounted against environmental antigens 1 . The allergic state is typified by the presence of allergen-reactive immunoglobulin E (IgE), which triggers mast cell degranulation upon allergen encounter, manifesting in prurit
10.1038/s41586-025-10028-8	Tumour–brain crosstalk restrains cancer immunity via a sensory–sympathetic axis	8103		life_science	include	7	replication_standard	high	The sample sizes used in this paper were selected based on those used in previous publications (Jin et al. Cell 2019). Exact sample sizes are described in each figure legends or Methods.	Abstract Body–brain communication has emerged as a key regulator of tissue homeostasis 1–5 . Solid tumours are innervated by different branches of the peripheral nervous system and increased tumour innervation is associated with poor cancer outcomes 6–8 . However, it remains unclear how the brain se
10.1038/s41586-025-10074-2	Integrated structural dynamics uncover a new B12 photoreceptor activation mode	8103		life_science	include	5	methodology_determined	high	The number of collected and indexed images in TR-SFX experiments necessary to obtain statistically meaningful data has been judged according to the CC1/2 value. For all other experiments, the sample size has been determined based on the SNR.	Photoreceptor proteins regulate fundamental biological processes such as vision, photosynthesis and circadian rhythms1. A large photoreceptor subfamily uses vitamin B12 derivatives for light sensing2, contrasting with the well-established mode of action of these organometallic derivatives in thermal
10.1038/s41586-025-09902-2	Prefrontal neural geometry of learned cues guides motivated behaviours	8104		life_science	include		na_or_blank	medium		Animals continuously evaluate their surroundings to decide whether to approach rewarding opportunities or avoid potential threats. Assigning the appropriate importance to environmental stimuli is not only crucial for survival but also underlies complex forms of goal-directed behaviour that are share
10.1038/s41586-025-09913-z	Microbiota-induced T cell plasticity enables immune-mediated tumour control	8104		life_science	include	8	resource_constraint	high	Sample sizes were not predetermined and the precise number of animals used are given in the figure legend. 5-10 mice per group were chosen based on previous experience of the intragroup validation of tumor growth upon similar treatments and common practice in the field, and animal welfare guidelines	Abstract Therapies that harness the immune system to target and eliminate tumour cells have revolutionized cancer care. Immune checkpoint blockade (ICB), which boosts the anti-tumour immune response by inhibiting negative regulators of T cell activation 1–3 , is remarkably successful in a subset of 
10.1038/s41586-025-09964-2	Common variation in meiosis genes shapes human recombination and aneuploidy	8104		life_science	include	4	resource_constraint	high	All available samples (after quality control) were used in the study to maximize statistical power.	Abstract The leading cause of human pregnancy loss is aneuploidy, often tracing to errors in chromosome segregation during female meiosis 1,2 . Although abnormal crossover recombination is known to confer risk for aneuploidy 3,4 , limited data have hindered understanding of the potential shared gene
10.1038/s41586-025-09983-z	Baby-to-baby strain transmission shapes the developing gut microbiome	8104		life_science	include		resource_constraint	high	We collected and utilized n=1013 fecal metagenomes from N=134 participants in this longitudinal study. As this was an observational, ecologically constrained study focusing on the first year of nursery, we did not perform a formal a priori cohort size calculation. Instead, our strategy was based on 	The early infant microbiome is largely primed by microbial transmission from the mother between birth and the first few weeks of life1&#8211;3, but how interpersonal transmission further shapes the developing microbiome in the first year remains unexplored. Here we report a metagenomic survey to mod
10.1038/s41586-025-09984-y	Intestinal macrophages modulate synucleinopathy along the gut–brain axis	8104		life_science	include	3	replication_standard	high	Study sizes were based on comparable experiments previously published (for example, Kim et al 2019 Neuron, Challis et al 2020 Nat Neuro)	Emerging evidence suggests that Parkinson&#8217;s disease (PD) may have its origin in the enteric nervous system (ENS), from where &#945;-synuclein (&#945;S) pathology spreads to the brain1&#8211;4. Decades before the onset of motor symptoms, patients with PD suffer from constipation and present wit
10.1038/s41586-025-09985-x	Critical role for a high-plasticity cell state in lung cancer	8104		life_science	include	5	effect_size_estimate	high	No sample size calculation was performed for the given animal studies. For Slc4a11-MCD/+, Hopx-MACD/+, Rosa26-CreERT2, Rosa26-mTmG/+ and Hipp11-GGCB/+ studies, we were restricted by the number of mice with the correct genotype to be included in the experimental groups. For transplantation studies, i	Plasticity&#8212;the ability of cells to undergo phenotypic transitions&#8212;drives cancer progression and therapy resistance1&#8211;3. Recent studies have suggested that plasticity in solid tumours is concentrated in a minority subset of cancer cells4&#8211;6, yet functional studies examining this
10.1038/s41586-025-10055-5	Rete ridges form via evolutionarily distinct mechanisms in mammalian skin	8104		life_science	include	1	replication_standard	high	No sample size calculations were performed. A minimum of 3 or more biological replicates, and a mix of males and females, were obtained when possible, however some timepoints within our human or pig sample sets only consisted of 1-2 biological replicates due to model limitations (e.g. initial pig li	Abstract The loss of fur during human evolution has long mystified scientists and the public 1–5 . Reduced hair density coincides with acquisition of epidermal rete ridges, the developmental timing and molecular mechanisms of which are poorly understood despite their prominence in humans 1,6–9 . Exa
10.1038/s41586-025-09926-8	The ubiquitin ligase KLHL6 drives resistance to CD8+ T cell dysfunction	8105		life_science	include	5	replication_standard	high	The sample size for each experiment is indicated in the figures and figure legends. Sample sizes were based on our experience and common practice in the related fields, balancing statistic robustness, resource availability and animal welfare. No Statistical methods were used to predetermine sample s	The multifaceted dysfunction of tumour-infiltrating T cells, including exhaustion and mitochondrial dysfunction, remains a major obstacle in cancer immunotherapy1&#8211;6. Transcriptomic and epigenomic regulation of T cell dysfunction have been extensively studied7&#8211;9, but the role of proteosta
10.1038/s41586-025-09945-5	N1-Methylpseudouridine directly modulates translation dynamics	8105		life_science	include	3	power_calc	high	Sample sizes were determined based on prior experience with each assay, and practical constraints. No formal a priori power calculations were performed. Ribosome profiling experiments were performed with 2 biological replicates due to the requirement to process samples in parallel to avoid batch eff	The considerable success of mRNA vaccines against SARS-CoV-2 has underscored the potential of synthetic mRNA as a transformative biomedical technology1. A critical feature of this approach is the incorporation of the modified nucleoside N1-methylpseudouridine (m1&#936;), which enhances antigen expre
10.1038/s41586-025-09958-0	Predictive coding of reward in the hippocampus	8105		life_science	include		resource_constraint	high	Eight naive male mice were trained and recorded for weeks. In average we recorded 504 + 101 (mean + std) neurons across session and mice. For analyzing backward shifting reward cells we could reliably track 194 reward cells across mice.	Anticipating future outcomes&amp;nbsp;is a fundamental task of the brain1&#8211;3. This process requires learning the states of the world as well as the transitional relationships between those states. In rodents, the hippocampal spatial cognitive map is thought to be one such internal model4. Howev
10.1038/s41586-025-09994-w	Identification of an allosteric site on the E3 ligase adapter cereblon	8105		life_science	include	2	resource_constraint	high	Number of sample size were chosen based on the maximum number of replicates that could be simultaneously analyzed with adequate statistics.	Cereblon (CRBN) is the target of thalidomide derivatives1 that achieve therapeutic efficacy against some haematologic neoplasias2&#8211;4 by recruiting neosubstrates for degradation5&#8211;7. Despite the intense investigation of orthosteric thalidomide derivatives, little is known about alternate bi
10.1038/s41586-025-09996-8	Pyramidal neurons proportionately alter cortical interneuron subtypes	8105		life_science	include	3	replication_standard	high	Sample sizes were not predetermined using a formal statistical power analysis. Instead, sample sizes were chosen based on established practices in the field to ensure the robust and reproducible detection of biological effects, while adhering to the principles of the 3Rs (Replacement, Reduction, and	The mammalian cerebral cortex comprises a complex neuronal network that maintains a precise balance between excitatory pyramidal neurons and inhibitory interneurons. Accumulating evidence indicates that specific interneuron subtypes form stereotyped microcircuits with distinct pyramidal neuron class
10.1038/s41586-025-10006-0	Construction of complex and diverse DNA sequences using DNA three-way junctions	8105		life_science	include	1	na_or_blank	medium		Abstract The ability to construct entirely new synthetic DNA sequences de novo is essential to engineering and studying biology. However, the ability to produce long complex synthetic DNA sequences and libraries currently lags behind the ability to sequence and edit DNA 1,2 . All existing DNA-assemb
10.1038/s41586-025-10011-3	PAF15–PCNA exhaustion governs the strand-specific control of DNA replication	8105		life_science	include	5	replication_standard	high	No statistical method was used to predetermine the sample size. Sample size was determined to be adequate on the levels and consistency of the differences between the groups. For all QIBC, experiments minimum of three technical repeats and minimum of two biological replicates were performed. Sample 	Abstract Eukaryotic genome replication is surveyed by the S-phase checkpoint, which coordinates sequential origin activation to prevent the exhaustion of poorly defined, rate-limiting replisome components 1–3 . Here we show that excessive origin firing saturates chromatin-bound proliferating cell nu
10.1038/s41586-025-10040-y	Systematic analyses of lipid mobilization by human lipid transfer proteins	8105		life_science	include	1	resource_constraint	high	No calculations were performed to determine the sample size. The sample size was limited by the number and availability of human LTP cDNAs and our success in expressing LTP in HEK293 and E. coli, respectively. 3 nature portfolio | reporting summary April 2023	Abstract Lipid transfer proteins (LTPs) maintain the specialized lipid compositions of organellar membranes 1,2 . In humans, many LTPs are implicated in diseases 3 , but the cargo and auxiliary lipids that facilitate the transfer of the majority of LTPs remain unknown. Here we combined biochemical, 
10.1038/s41586-025-09965-1	Polyamine-dependent metabolic shielding regulates alternative splicing	8106		life_science	include	2	replication_standard	high	For in vitro assays, sample size was determined by establishing a minimum of 3 biological replicates and asssessing data dispersion to increase the number of replicates accordingly. For in vivo assays, we counted on power analysis to establish minimum sample sizes.	Metabolites are central to cellular homeostasis. Although much emphasis has been placed on their relevance to meet energetic and biosynthetic demands, metabolic intermediates also function as signalling molecules. Here we show that polyamines, small polycations that are critical to cellular homeosta
10.1038/s41586-025-09972-2	The transition from monocyte to tissue-resident macrophage requires DHPS	8106		life_science	include	5	replication_standard	high	No statistical method was used to predetermine sample size, but a minimum of three samples were used per experimental group and condition. Sample size for single cell RNA and bulk RNA sequencing was chosen according to personal experience (n = 3 biological replicates) and in view of financial constr	Abstract Tissue-resident macrophages (RTMs) form during embryogenesis, self-renew locally, and regulate tissue homeostasis by clearing dead cells and debris 1–6 . During tissue damage, however, bone-marrow-derived monocytes enter tissues and differentiate into RTMs, repairing the tissue and replenis
10.1038/s41586-025-09988-8	Fibroblastic reticular cells direct the initiation of T cell responses via CD44	8106		life_science	include	2	power_calc	high	Group sample sizes were chosen based on standards in the field and our previous studies where we used power analysis to estimate group sizes that would provide at least 80% power to detect statistically significant differences.	Abstract The movement of dendritic cells and T cells within secondary lymphoid organs is critical for the development of adaptive immune responses 1,2 . Central to this process is the fibroblastic reticular cell (FRC) network, which forms a highly organized conduit system that facilitates the moveme
10.1038/s41586-025-09997-7	Dissecting gene regulatory networks governing human cortical cell fate	8106		life_science	include	2	no_justification	high	4 individuals were collected for the initial Perturb-seq. Validation experiments focusing on top candidates were carried out using additional 13 individuals (2D single cell lineage tracing) in both human and macaque, 4 human individuals in organotypic slice culture and 9 individuals (flow cytometry)	Abstract Human cortical neurogenesis involves conserved and specialized developmental processes during a restricted window of prenatal development. Radial glia (RG) neural stem cells shape cortical cell diversity by giving rise to excitatory neurons, oligodendrocytes and astrocytes, as well as olfac
10.1038/s41586-025-10003-3	Convergent evolution of scavenger cell development at brain borders	8106		life_science	include	1	replication_standard	high	No sample-size calculations were conducted as generally large sample numbers were available and sufficient to provide robust statistical testing. In vivo experiments on zebrafish were conducted on at least n=5 biological replicates/group to ensure unbiased representation of biological variation. In 	The vertebrate central nervous system is protected by the blood&#8211;brain barrier and meningeal membranes, which ensure immune privilege1. In the mammalian brain, microglia and barrier-associated or border-associated macrophages (BAMs) provide immune surveillance and scavenge wastes2, yet how evol
