doi	title	volume	issue	published_date	rs_form_type	sample_size_category	extraction_confidence	sample_size_raw
10.1038/s41586-025-09903-1	Intratumoural vaccination via checkpoint degradation-coupled antigen presentation	650	8102	2026-1-7	Life sciences study design	effect_size_estimate	high	No statistical method was used to determine sample size. Sample size choice was based on our experience with variability in these assays and our ability to detect meaningful differences between treatments. In order to ensure reproducibility , all experiments were repeated a minimum of two times.
10.1038/s41586-025-09910-2	Distinct neuronal populations in the human brain combine content and context	650	8102	2026-1-7	Life sciences study design	ambiguous	high	Our analysis is based on a total of 3,109 units recorded in 49 experimental sessions from 16 epilepsy patients suffering from drug-resistant epilepsy and undergoing invasive seizure monitoring with the goal of subsequent neurosurgical resection. No a-priori sample-size calculation was performed. Our
10.1038/s41586-025-09923-x	Disease tolerance and infection pathogenesis age-related tradeoffs in mice	650	8102	2026-1-14	Life sciences study design	na_or_blank	medium	
10.1038/s41586-025-09940-w	A nowhere-to-hide mechanism ensures complete piRNA-directed DNA methylation	650	8102	2026-1-14	Life sciences study design	resource_constraint	high	Sample sizes were determined based on available biological material, with no statistical methods being used to pre-determine sample sizes. For each experiment requiring statistical quantification, three or more independent biological replicates were analysed.
10.1038/s41586-025-09978-w	Oxygen-free metabolism in the bird inner retina supported by the pecten	650	8102	2026-1-21	behavioural & social sciences study design	ambiguous	high	Each individual animal represent one data point.
10.1038/s41586-025-10020-2	Population-scale sequencing resolves determinants of persistent EBV DNA	650	8102	2026-1-28		power_calc	high	No pre-determined sample size was calculated for these analyses as analyses were retrospective from large cohorts. The sample sizes for genetic and phenotypic associations exceeded 490,000 from the UKB (discovery cohort) and 245,000 from AoU (replication cohort) represent the largest cohorts to date
10.1038/s41586-025-09881-4	Genetic switch between unicellularity and multicellularity in marine yeasts	650	8103	2026-1-7		effect_size_estimate	high	No predetermined sample size was used for statistical analysis. Sample sizes were chosen to ensure reproducibility of the observed phenotypes, based on preliminary experiments and consistency across replicates. Sample sizes are comparable to those reported in similar studies in the field (Mitchison 
10.1038/s41586-025-09886-z	Insights into DNA repeat expansions among 900,000 biobank participants	650	8103	2026-1-7	Life sciences study design	ambiguous	high	We used genome sequencing data from UK Biobank and All of Us, which were the largest WGS cohorts available to us and provided ample statistical power to identify genetic modifiers of somatic repeat expansion. Our GWAS on somatic expansion of TCF4 included 40,231 UK Biobank participants and 8,217 All
10.1038/s41586-025-09896-x	Mitochondrial transfer from glia to neurons protects against peripheral neuropathy	650	8103	2026-1-7	Life sciences study design	ambiguous	high	No statistical calculation was used to predetermine sample size for in vitro and in vivo study. In samples for the in vitro experiments, sample sizes of at least n=3 (biologically independent replicates) were sufficient to ensure reproducibility. Sample sizes were determined based on the similar exp
10.1038/s41586-025-09906-y	Oral 4′-fluorouridine rescues nonhuman primates from advanced Lassa fever	650	8103	2026-1-7	Life sciences study design	na_or_blank	medium	
10.1038/s41586-025-09907-x	Bidirectional CRISPR screens decode a GLIS3-dependent fibrotic cell circuit	650	8103	2026-1-7		replication_standard	high	For mice, the minimal sample size was set the availability of mice for completing the experiment, with each treatment or genotype consisting of at least n=3. Inbred mice were used and sex-matched, allowing for similar variance between experimental group. In vitro cell culture experiments were perfor
10.1038/s41586-025-09925-9	A foundation model for continuous glucose monitoring data	650	8103	2026-1-14		power_calc	high	This studies goal was to build a deep learning model using the HPP dataset, thus no prior knowledge on the expected effect sizes exists, or sample size calculation was done. Samples included in this study are of all the participants who met the inclusion criteria detailed in Shilo et al. (2021). The
10.1038/s41586-025-09933-9	Ultra-high-throughput mapping of genetic design space	650	8103	2026-1-14	Life sciences study design	na_or_blank	medium	
10.1038/s41586-025-09943-7	CFAP20 salvages arrested RNAPII from the path of co-directional replisomes	650	8103	2026-1-14		replication_standard	high	No statistical method was used to predetermine sample size. Sample sizes were chosen for the different experimental approaches based on the technical difficulty and throughput of the individual assays, the chosen sample sizes are consistent with previous publications. For imaging experiments, >100 p
10.1038/s41586-025-09963-3	Ligand-specific activation trajectories dictate GPCR signalling in cells	650	8103	2026-1-14	Life sciences study design	na_or_blank	medium	
10.1038/s41586-025-09987-9	Ageing promotes microglial accumulation of slow-degrading synaptic proteins	650	8103	2026-1-21	Life sciences study design	effect_size_estimate	high	No statistical methods were used for determining sample size. For most studies, sample size = 3 or 4 was selected because pilot studies demonstrated that 3 replicates sufficed for sufficient replication without large variation and/or out of consideration of TMT-plexing limits. Importantly, n = 3 or 
10.1038/s41586-025-10001-5	Environmentally driven immune imprinting protects against allergy	650	8103	2026-1-28	Life sciences study design	replication_standard	high	Sample sizes were chosen to give a minimum of n = 5 across a minimum of two independent experiments.
10.1038/s41586-025-10028-8	Tumour–brain crosstalk restrains cancer immunity via a sensory–sympathetic axis	650	8103	2026-2-4	Life sciences study design	replication_standard	high	The sample sizes used in this paper were selected based on those used in previous publications (Jin et al. Cell 2019). Exact sample sizes are described in each figure legends or Methods.
10.1038/s41586-025-10074-2	Integrated structural dynamics uncover a new B12 photoreceptor activation mode	650	8103	2026-2-4	Life sciences study design	methodology_determined	high	The number of collected and indexed images in TR-SFX experiments necessary to obtain statistically meaningful data has been judged according to the CC1/2 value. For all other experiments, the sample size has been determined based on the SNR.
10.1038/s41586-025-09902-2	Prefrontal neural geometry of learned cues guides motivated behaviours	651	8104	2026-1-7	Life sciences study design	na_or_blank	medium	
10.1038/s41586-025-09913-z	Microbiota-induced T cell plasticity enables immune-mediated tumour control	651	8104	2026-1-14		resource_constraint	high	Sample sizes were not predetermined and the precise number of animals used are given in the figure legend. 5-10 mice per group were chosen based on previous experience of the intragroup validation of tumor growth upon similar treatments and common practice in the field, and animal welfare guidelines
10.1038/s41586-025-09964-2	Common variation in meiosis genes shapes human recombination and aneuploidy	651	8104	2026-1-21		resource_constraint	high	All available samples (after quality control) were used in the study to maximize statistical power.
10.1038/s41586-025-09969-x	Language model-guided anticipation and discovery of mammalian metabolites	651	8104	2026-1-14		effect_size_estimate	high	For isotope tracing, two mice were infused for each tracer in an exploratory fashion to identify the presence or absence of labeling in product metabolites. For purified and chow diets, four mice were fed the respective diets. Dietary intake, both in timing and quantity, can vary between mice, such 
10.1038/s41586-025-09983-z	Baby-to-baby strain transmission shapes the developing gut microbiome	651	8104	2026-1-21		resource_constraint	high	We collected and utilized n=1013 fecal metagenomes from N=134 participants in this longitudinal study. As this was an observational, ecologically constrained study focusing on the first year of nursery, we did not perform a formal a priori cohort size calculation. Instead, our strategy was based on 
10.1038/s41586-025-09984-y	Intestinal macrophages modulate synucleinopathy along the gut–brain axis	651	8104	2026-1-28	Life sciences study design	replication_standard	high	Study sizes were based on comparable experiments previously published (for example, Kim et al 2019 Neuron, Challis et al 2020 Nat Neuro)
10.1038/s41586-025-09985-x	Critical role for a high-plasticity cell state in lung cancer	651	8104	2026-1-21		effect_size_estimate	high	No sample size calculation was performed for the given animal studies. For Slc4a11-MCD/+, Hopx-MACD/+, Rosa26-CreERT2, Rosa26-mTmG/+ and Hipp11-GGCB/+ studies, we were restricted by the number of mice with the correct genotype to be included in the experimental groups. For transplantation studies, i
10.1038/s41586-025-10055-5	Rete ridges form via evolutionarily distinct mechanisms in mammalian skin	651	8104	2026-2-4	Life sciences study design	replication_standard	high	No sample size calculations were performed. A minimum of 3 or more biological replicates, and a mix of males and females, were obtained when possible, however some timepoints within our human or pig sample sets only consisted of 1-2 biological replicates due to model limitations (e.g. initial pig li
10.1038/s41586-025-09926-8	The ubiquitin ligase KLHL6 drives resistance to CD8+ T cell dysfunction	651	8105	2026-1-14		replication_standard	high	The sample size for each experiment is indicated in the figures and figure legends. Sample sizes were based on our experience and common practice in the related fields, balancing statistic robustness, resource availability and animal welfare. No Statistical methods were used to predetermine sample s
10.1038/s41586-025-09945-5	N1-Methylpseudouridine directly modulates translation dynamics	651	8105	2026-1-14		power_calc	high	Sample sizes were determined based on prior experience with each assay, and practical constraints. No formal a priori power calculations were performed. Ribosome profiling experiments were performed with 2 biological replicates due to the requirement to process samples in parallel to avoid batch eff
10.1038/s41586-025-09958-0	Predictive coding of reward in the hippocampus	651	8105	2026-1-14	behavioural & social sciences study design	ambiguous	high	Eight naive male mice were trained and recorded for weeks. In average we recorded 504 + 101 (mean + std) neurons across session and mice. For analyzing backward shifting reward cells we could reliably track 194 reward cells across mice.
10.1038/s41586-025-09994-w	Identification of an allosteric site on the E3 ligase adapter cereblon	651	8105	2026-1-21		resource_constraint	high	Number of sample size were chosen based on the maximum number of replicates that could be simultaneously analyzed with adequate statistics.
10.1038/s41586-025-09996-8	Pyramidal neurons proportionately alter cortical interneuron subtypes	651	8105	2026-1-21		replication_standard	high	Sample sizes were not predetermined using a formal statistical power analysis. Instead, sample sizes were chosen based on established practices in the field to ensure the robust and reproducible detection of biological effects, while adhering to the principles of the 3Rs (Replacement, Reduction, and
10.1038/s41586-025-10006-0	Construction of complex and diverse DNA sequences using DNA three-way junctions	651	8105	2026-1-21	Life sciences study design	na_or_blank	medium	
10.1038/s41586-025-10011-3	PAF15–PCNA exhaustion governs the strand-specific control of DNA replication	651	8105	2026-1-28	Life sciences study design	replication_standard	high	No statistical method was used to predetermine the sample size. Sample size was determined to be adequate on the levels and consistency of the differences between the groups. For all QIBC, experiments minimum of three technical repeats and minimum of two biological replicates were performed. Sample 
10.1038/s41586-025-10037-7	Human and bacterial genetic variation shape oral microbiomes and health	651	8105	2026-1-28	Life sciences study design	na_or_blank	medium	
10.1038/s41586-025-10040-y	Systematic analyses of lipid mobilization by human lipid transfer proteins	651	8105	2026-1-7	Life sciences study design	resource_constraint	high	No calculations were performed to determine the sample size. The sample size was limited by the number and availability of human LTP cDNAs and our success in expressing LTP in HEK293 and E. coli, respectively. 3 nature portfolio | reporting summary April 2023
10.1038/s41586-025-09965-1	Polyamine-dependent metabolic shielding regulates alternative splicing	651	8106	2026-1-14	behavioural & social sciences study design	replication_standard	high	For in vitro assays, sample size was determined by establishing a minimum of 3 biological replicates and asssessing data dispersion to increase the number of replicates accordingly. For in vivo assays, we counted on power analysis to establish minimum sample sizes.
10.1038/s41586-025-09972-2	The transition from monocyte to tissue-resident macrophage requires DHPS	651	8106	2026-1-21	Life sciences study design	replication_standard	high	No statistical method was used to predetermine sample size, but a minimum of three samples were used per experimental group and condition. Sample size for single cell RNA and bulk RNA sequencing was chosen according to personal experience (n = 3 biological replicates) and in view of financial constr
10.1038/s41586-025-09988-8	Fibroblastic reticular cells direct the initiation of T cell responses via CD44	651	8106	2026-1-21		power_calc	high	Group sample sizes were chosen based on standards in the field and our previous studies where we used power analysis to estimate group sizes that would provide at least 80% power to detect statistically significant differences.
10.1038/s41586-025-09997-7	Dissecting gene regulatory networks governing human cortical cell fate	651	8106	2026-1-21		no_justification	high	4 individuals were collected for the initial Perturb-seq. Validation experiments focusing on top candidates were carried out using additional 13 individuals (2D single cell lineage tracing) in both human and macaque, 4 human individuals in organotypic slice culture and 9 individuals (flow cytometry)
10.1038/s41586-025-10003-3	Convergent evolution of scavenger cell development at brain borders	651	8106	2026-1-21	Life sciences study design	ambiguous	high	No sample-size calculations were conducted as generally large sample numbers were available and sufficient to provide robust statistical testing. In vivo experiments on zebrafish were conducted on at least n=5 biological replicates/group to ensure unbiased representation of biological variation. In 
10.1038/s41586-025-10047-5	Developmental convergence and divergence in human stem cell models of autism	651	8106	2026-1-29	Life sciences study design	resource_constraint	high	Sample size was not pre-calculated due to the nature of patient-derived organoid work. We aimed to maximize the sample size through patient recruitment. Our starting sample sizes have a wide range depending on the specific mutation, however, our sample size is the largest in organoid work to date, w
10.1038/s41586-025-10050-w	Sleep-dependent clearance of brain lipids by peripheral blood cells	651	8106	2026-2-11	Life sciences study design	resource_constraint	high	Sample sizes in each experiment were based on the number of samples that we were able to collect/dissect/process within 2hrs, while including all groups to be statistically compared to one-another. All the size informations were included in the manuscript.
10.1038/s41586-025-10052-8	GlycoRNA complexed with heparan sulfate regulates VEGF-A signalling	651	8106	2026-1-28		replication_standard	high	No statistical methods were used to determine the sample size. All sample sizes were determined based on optimization experiments, previous experience, and published literature. For imaging sample sizes, we referenced Jonathan et al., Cell 2025 PMID: 40020667; For glycoRNA sample sizes, we reference
10.1038/s41586-025-10054-6	A cross-population compendium of gene–environment interactions	651	8106	2026-1-28		resource_constraint	high	We used UK Biobank and Biobank Japan for discovery and replication. We analyzed unrelated individuals from all genetically European participants in the former and all genetically Japanese participants in the latter. We also used unrelated individuals from all genotyped participants from four externa
10.1038/s41586-025-10061-7	Psychedelics elicit their effects by 5-HT2A receptor-mediated Gi signalling	651	8106	2026-1-28		methodology_determined	high	For Glosensor, TRUPATH, BERT based Gα-Gγ dissociation or βarr2 recruitment, HiBiT-based surface expression, three independent experiments (n=3) were performed and used for the evaluation of S.E.M. as depicted in related figure legends. Data were analyzed by fitting various concentration of substrate
10.1038/s41586-026-10110-9	Reduced cyclin D3 expression in erythroid cells protects against malaria	651	8106	2026-2-18	Life sciences study design	replication_standard	high	The sample size used for the GWAS and selection analyses corresponded to the vast majority (N=6,824) of participants in the SardiNIA cohort and was not determined a priori, although previous analyses indicated that it provided adequate statistical power for the effects tested. No statistical methods
10.1038/s41586-026-10155-w	Limited thermal tolerance in tropical insects and its genomic signature	651	8106	2026-3-4	Ecological, evolutionary & environmental sciences study design	ambiguous	high	was 26 in the Neotropics and 15 in the Afrotropics; for few response variables the sample size was lower as data was missing for some study sites. The sample size is indicated for each response variable in the method section. As all study sites were geographically seperated by an elevational interva
10.1038/s41586-026-10112-7	Genomic history of early dogs in Europe	651	8107	2026-3-25	Ecological, evolutionary & environmental sciences study design	resource_constraint	high	We aimed to sample canid remains broadly from Europe and from the Upper Paleolithic, Mesolithic, and to some extent also Neolithic periods. We contacted museum curators, zooarchaeologists and others with access to such remains. Due to the stochastic and uneven nature of the archaeological record, sa
10.1038/s41586-026-10170-x	Dogs were widely distributed across western Eurasia during the Palaeolithic	651	8107	2026-3-25	behavioural & social sciences study design	resource_constraint	high	All individuals which possessed enough bone/tooth material were sampled for this study (see Supplementary Methods). Material was obtained through collaboration with archaeologists working in the respective regions (see author list).
10.1038/s41586-025-09622-7	Contrasting thermophilization among forests, grasslands and alpine summits			2026-3-18	Ecological, evolutionary & environmental sciences study design	resource_constraint	high	was thus not predetermined but rather a maximum possible based on available data.
10.1038/s41586-026-10179-2	Insulin resistance prediction from wearables and routine blood biomarkers			2026-3-16	Life sciences study design	effect_size_estimate	high	The exact contribution of each feature (wearables, demographics, and blood biomarkers) to insulin resistance prediction was unknown before we started the study. Based on our prior research (Metwally et al., Nature Biomedical Engineering, 2025, and Park et al, npj Digital Medicine, 2025), we determin
10.1038/s41586-026-10219-x	Functional hierarchy of the human neocortex across the lifespan			2026-3-25	Life sciences study design	resource_constraint	high	Sample size was chosen based on available data across our five imaging datasets. Our final sample size of 3972 is large and ages of participants are evenly distributed across the human lifespan.
10.1038/s41586-026-10220-4	Climbing fibres recruit disinhibition to enhance Purkinje cell calcium signals			2026-3-18	Life sciences study design	replication_standard	high	No power analysis or other statistical methods were used to pre-determine sample sizes. Sample sizes were similar to previous publications: PMID: 38692278, PMID: 35578131, PMID: 25205669.
10.1038/s41586-026-10226-y	Adaptive evolution of gene regulatory networks in mammalian neocortex			2026-3-18	Life sciences study design	resource_constraint	high	No sample size calculation was performed. The size of the samples was determined by the availability of the samples, and the sequencing costs.
10.1038/s41586-026-10227-x	Biosynthesis of cinchona alkaloids			2026-3-18	Life sciences study design	replication_standard	high	All experiments designed to probe the function of distinct enzymes were conducted with a sample size of at least three to ensure minimal statistical power analysis: Nicotiana benthamiana pathway reconstitution experiments were done on four independent biological replicates. In vitro assays were perf
10.1038/s41586-026-10232-0	The E3 ubiquitin ligase mechanism specifying targeted microRNA degradation			2026-3-18	Life sciences study design	effect_size_estimate	high	No statistical methods were used to predetermine sample size. Sample sizes were chosen based on pilot experiments to ensure clear and reliable interpretation of the results. The sample sizes used in this study are consistent with standard practices in the field (PMID: 32661162, 33536622). The exact 
10.1038/s41586-026-10235-x	In vivo site-specific engineering to reprogram T cells			2026-3-18	Life sciences study design	power_calc	high	Sample size were chosen based on power calculation and pilot experiments. Due to the challenge in producing reagents in very large quantities, some experiments have unequal group sizes
10.1038/s41586-026-10242-y	Thymic health consequences in adults			2026-3-18	Life sciences study design	resource_constraint	high	Sample size was chosen based on all available data from the FHS and NLST. The cohort comprised a total of 27,612 participants (2,581 in FHS; 25,031 in NLST). In our study we performed a secondary analysis of the two observational cohort studies (FHS, NLST). Sample size was not determined by calculat
10.1038/s41586-026-10243-x	Thymic health and immunotherapy outcomes in patients with cancer			2026-3-18	Life sciences study design	resource_constraint	high	Sample size was chosen based on all available data from the DFHCC and TRACERx. The cohort comprised a total of 3,940 participants (3476 from Harvard and 464 from TRACERx). Sample size was not determined by calculation as this was not a prospective study.
10.1038/s41586-026-10250-y	Proteasome-guided haem signalling axis contributes to T cell exhaustion			2026-3-18	Life sciences study design	effect_size_estimate	high	Group sizes for in vivo validation experiments were selected empirically based on previous results of the intra-group variation of tumor growth upon similar treatments. For in vitro experiments, group sizes were selected on the basis of previous publication and prior knowledge of variation and were 
